row_id,CustomerID,Title,FirstName,MiddleName,LastName,Country,EmailAddress,Phone,LastUpdated
44,66,Mr.,Alexander,J.,Deborde,USA,alexander1@adventure-works.com,394-555-0176,10/20/2024
45,70,Mr.,Deepak,,Kumar,USA,deepak0@adventure-works.com,1 (11) 500 555-0122,10/20/2024
46,73,Ms.,Margaret,T.,Krupka,USA,margaret1@adventure-works.com,107-555-0132,10/20/2024
47,74,Mr.,Christopher,M.,Bright,USA,christopher2@adventure-works.com,162-555-0166,10/20/2024
48,75,Ms.,Aidan,,Delaney,USA,aidan0@adventure-works.com,358-555-0188,10/20/2024
49,76,Mr.,James,J.,Krow,USA,james11@adventure-works.com,265-555-0190,10/20/2024
50,77,Mr.,Michael,,Brundage,USA,michael13@adventure-works.com,128-555-0148,10/20/2024
51,78,Mr.,Stefan,,Delmarco,USA,stefan0@adventure-works.com,819-555-0186,10/20/2024
52,79,Mr.,Mitch,,Kennedy,USA,mitch0@adventure-works.com,996-555-0192,10/20/2024
53,82,Mr.,James,D.,Kramer,USA,james10@adventure-works.com,814-555-0130,10/20/2024
54,83,Mr.,Eric,J.,Brumfield,USA,eric3@adventure-works.com,644-555-0114,10/20/2024
55,84,Ms.,Della,F.,Demott Jr,USA,della0@adventure-works.com,752-555-0185,10/20/2024
56,88,Ms.,Pamala,M.,Kotc,USA,pamala0@adventure-works.com,1 (11) 500 555-0173,10/20/2024
57,91,Ms.,Joy,R.,Koski,USA,joy0@adventure-works.com,810-555-0198,10/20/2024
58,92,Ms.,Jovita,A.,Carmody,USA,jovita0@adventure-works.com,646-555-0137,10/20/2024
59,93,Mr.,Prashanth,,Desai,USA,prashanth0@adventure-works.com,138-555-0156,10/20/2024
60,94,Mr.,Scott,,Konersmann,USA,scott6@adventure-works.com,556-555-0192,10/20/2024
61,95,Ms.,Jane,N.,Carmichael,USA,jane0@adventure-works.com,716-555-0167,10/20/2024
62,96,Ms.,Bonnie,B.,Lepro,USA,bonnie2@adventure-works.com,354-555-0130,10/20/2024
63,97,Mr.,Eugene,,Kogan,USA,eugene2@adventure-works.com,136-555-0134,10/20/2024
64,100,Mr.,Kirk,T,King,USA,kirk2@adventure-works.com,979-555-0163,10/20/2024
65,101,Mr.,William,J.,Conner,USA,william1@adventure-works.com,383-555-0111,10/20/2024
66,102,Ms.,Linda,,Leste,USA,linda7@adventure-works.com,493-555-0134,10/20/2024
67,106,Ms.,Andrea,A.,Thomsen,USA,andrea1@adventure-works.com,1 (11) 500 555-0120,10/20/2024
68,109,Mr.,Daniel,P.,Thompson,CAN,daniel2@adventure-works.com,247-555-0197,10/20/2024
69,110,Ms.,Kendra,N.,Thompson,CAN,kendra0@adventure-works.com,464-555-0188,10/20/2024
70,111,Mr.,Scott,A.,Colvin,CAN,scott1@adventure-works.com,119-555-0144,10/20/2024
71,112,Ms.,Elsie,L.,Lewin,CAN,elsie0@adventure-works.com,803-555-0116,10/20/2024
72,113,Mr.,Donald,M.,Thompson,CAN,donald1@adventure-works.com,273-555-0111,10/20/2024
73,114,Mr.,John,L.,Colon,CAN,john14@adventure-works.com,397-555-0144,10/20/2024
74,115,Mr.,George,Z.,Li,CAN,george3@adventure-works.com,699-555-0183,10/20/2024
75,118,Mr.,Yale,,Li,CAN,yale0@adventure-works.com,316-555-0138,10/20/2024
76,119,Ms.,Phyllis,A.,Thomas,CAN,phyllis2@adventure-works.com,667-555-0112,10/20/2024
77,120,Mr.,Pat,,Coleman,CAN,pat2@adventure-works.com,292-555-0128,10/20/2024
78,124,Ms.,Yuhong,,Li,CAN,yuhong1@adventure-works.com,1 (11) 500 555-0176,10/20/2024
79,127,Mr.,Joseph,M.,Lique,CAN,joseph2@adventure-works.com,119-555-0195,10/20/2024
80,128,Ms.,Judy,J.,Thames,CAN,judy3@adventure-works.com,799-555-0118,10/20/2024
81,129,Ms.,Connie,L.,Coffman,CAN,connie0@adventure-works.com,426-555-0181,10/20/2024
82,130,Mr.,Paulo,H.,Lisboa,CAN,paulo0@adventure-works.com,380-555-0116,10/20/2024
83,131,Ms.,Vanessa,J.,Tench,CAN,vanessa0@adventure-works.com,785-555-0163,10/20/2024
84,132,Ms.,Teanna,M.,Cobb,CAN,teanna0@adventure-works.com,661-555-0168,10/20/2024
85,133,Mr.,Michael,,Graff,CAN,michael16@adventure-works.com,132-555-0150,10/20/2024
86,136,Mr.,Derek,,Graham,CAN,derek0@adventure-works.com,674-555-0187,10/20/2024
87,137,,Gytis,M,Barzdukas,CAN,gytis0@adventure-works.com,257-555-0119,10/20/2024
88,138,Ms.,Jane,,Clayton,CAN,jane1@adventure-works.com,206-555-0195,10/20/2024
89,142,Mr.,Jon,,Grande,CAN,jon1@adventure-works.com,1 (11) 500 555-0114,10/20/2024
90,145,Mr.,Ted,,Bremer,CAN,ted0@adventure-works.com,962-555-0166,10/20/2024
91,146,Mr.,Richard,,Bready,CAN,richard1@adventure-works.com,340-555-0131,10/20/2024
92,147,Ms.,Alice,,Clark,CAN,alice1@adventure-works.com,221-555-0141,10/20/2024
93,148,Mr.,Alan,,Brewer,CAN,alan1@adventure-works.com,494-555-0134,10/20/2024
94,149,Mr.,Cornelius,L.,Brandon,CAN,cornelius0@adventure-works.com,229-555-0114,10/20/2024
95,150,Ms.,Jill,J.,Christie,CAN,jill1@adventure-works.com,927-555-0198,10/20/2024
96,151,Mr.,Walter,J.,Brian,CAN,walter0@adventure-works.com,163-555-0155,10/20/2024
97,154,Mr.,Carlton,M.,Carlisle,CAN,carlton0@adventure-works.com,193-555-0116,10/20/2024
98,155,Mr.,Joseph,N.,Castellucio,CAN,joseph1@adventure-works.com,180-555-0114,10/20/2024
99,156,Mr.,Lester,J.,Bowman,CAN,lester0@adventure-works.com,844-555-0112,10/20/2024
100,160,Ms.,Brigid,F.,Cavendish,CAN,brigid0@adventure-works.com,1 (11) 500 555-0178,10/20/2024
101,163,Mr.,Andrew,,Cencini,CAN,andrew2@adventure-works.com,644-555-0111,10/20/2024
102,164,Ms.,Cindy,M.,Dodd,CAN,cindy0@adventure-works.com,706-555-0140,10/20/2024
103,165,Mr.,Randall,,Boseman,CAN,randall0@adventure-works.com,383-555-0117,10/20/2024
104,166,Ms.,Stacey,M.,Cereghino,CAN,stacey0@adventure-works.com,351-555-0131,10/20/2024
105,167,Mr.,Blaine,,Dockter,CAN,blaine0@adventure-works.com,156-555-0187,10/20/2024
106,168,Sr.,Luis,,Bonifaz,CAN,luis0@adventure-works.com,688-555-0113,10/20/2024
107,169,Ms.,Brenda,,Diaz,CAN,brenda2@adventure-works.com,147-555-0192,10/20/2024
108,172,Ms.,Gabriele,,Dickmann,CAN,gabriele0@adventure-works.com,835-555-0116,10/20/2024
109,173,Mr.,Rudolph,J.,Dillon,CAN,rudolph0@adventure-works.com,722-555-0169,10/20/2024
110,174,Mr.,Michael,L.,Bohling,CAN,michael12@adventure-works.com,838-555-0147,10/20/2024
111,178,Mr.,Dick,,Dievendorff,CAN,dick1@adventure-works.com,1 (11) 500 555-0193,10/20/2024
112,180,Ms.,Nicky,E.,Chesnut,CAN,nicky0@adventure-works.com,264-555-0164,10/20/2024
113,181,Mr.,Michael,J.,Lee,CAN,michael18@adventure-works.com,396-555-0139,10/20/2024
114,182,Mr.,Stanley,A.,Alan,CAN,stanley0@adventure-works.com,156-555-0126,10/20/2024
115,183,Mr.,Yao-Qiang,,Cheng,CAN,yao-qiang0@adventure-works.com,344-555-0181,10/20/2024
116,184,Ms.,Marjorie,M.,Lee,CAN,marjorie0@adventure-works.com,306-555-0166,10/20/2024
117,185,Mr.,Sandeep,,Kaliyath,CAN,sandeep1@adventure-works.com,495-555-0113,10/20/2024
118,186,Mr.,Pei,,Chow,CAN,pei0@adventure-works.com,789-555-0184,10/20/2024
119,187,Mr.,CADnk,,Campbell,CAN,CADnk4@adventure-works.com,491-555-0132,10/20/2024
120,190,Mr.,Mark,,Lee,CAN,mark5@adventure-works.com,371-555-0112,10/20/2024
121,191,Ms.,Sandra,T.,Kitt,CAN,sandra2@adventure-works.com,303-555-0117,10/20/2024
122,192,Mr.,Hao,,Chen,CAN,hao1@adventure-works.com,117-555-0173,10/20/2024
123,196,Ms.,Jolie,,Lenehan,CAN,jolie0@adventure-works.com,1 (11) 500 555-0126,10/20/2024
124,197,Ms.,Diane,F.,Krane,CAN,adventure-works\michael9,diane4@adventure-works.com,10/20/2024
125,198,Mr.,Payton,P.,Benson,CAN,payton0@adventure-works.com,528-555-0183,10/20/2024
126,199,Mr.,Roger,,Lengel,CAN,roger1@adventure-works.com,947-555-0143,10/20/2024
127,200,Ms.,Peggy,J.,Justice,CAN,peggy0@adventure-works.com,170-555-0189,10/20/2024
128,201,Ms.,Edna,J.,Benson,CAN,edna0@adventure-works.com,789-555-0189,10/20/2024
129,202,,A.,CADncesca,Leonetti,CAN,a0@adventure-works.com,645-555-0193,10/20/2024
130,203,Ms.,Jean,,Jordan,CAN,jean3@adventure-works.com,207-555-0129,10/20/2024
131,204,Mr.,Ido,,Ben-Sachar,CAN,ido0@adventure-works.com,973-555-0112,10/20/2024
132,205,Mr.,CADnk,,Mart¡nez,CAN,CADnk5@adventure-works.com,171-555-0147,10/20/2024
133,208,Mr.,Steve,,Masters,CAN,steve2@adventure-works.com,154-555-0115,10/20/2024
134,209,Mr.,Robert,E.,Jones,CAN,robert6@adventure-works.com,595-555-0131,10/20/2024
135,210,Mr.,Josh,,Barnhill,CAN,josh0@adventure-works.com,584-555-0192,10/20/2024
136,214,Ms.,Jennifer,J.,Maxham,CAN,jennifer1@adventure-works.com,1 (11) 500 555-0175,10/20/2024
137,217,Mr.,Chris,,Maxwell,CAN,chris6@adventure-works.com,642-555-0187,10/20/2024
138,218,Mr.,David,,Johnson,CAN,david18@adventure-works.com,476-555-0139,10/20/2024
139,219,Mr.,Brian,,Johnson,CAN,brian6@adventure-works.com,320-555-0134,10/20/2024
140,220,Mr.,Robert,,Brown,CAN,robert5@adventure-works.com,575-555-0189,10/20/2024
141,221,Ms.,Sandra,B.,Maynard,CAN,sandra4@adventure-works.com,993-555-0179,10/20/2024
142,222,Mr.,Barry,,Johnson,CAN,barry1@adventure-works.com,858-555-0140,10/20/2024
143,223,Ms.,Joyce,,Jarvis,CAN,joyce0@adventure-works.com,458-555-0179,10/20/2024
144,226,Ms.,Vance,P.,Johns,CAN,vance0@adventure-works.com,103-555-0151,10/20/2024
145,227,Ms.,Robin,M.,McGuigan,CAN,adventure-works\josé1,robin0@adventure-works.com,10/20/2024
146,228,Ms.,Danielle,B.,Johnson,CAN,danielle1@adventure-works.com,356-555-0190,10/20/2024
147,232,Mr.,David,,Jaffe,CAN,david17@adventure-works.com,1 (11) 500 555-0140,10/20/2024
148,235,Ms.,Mary,,Alexander,CAN,mary7@adventure-works.com,344-555-0133,10/20/2024
149,236,Ms.,Lola,M.,McCarthy,CAN,lola0@adventure-works.com,173-555-0151,10/20/2024
150,237,Ms.,Mary,K.,Browning,CAN,mary5@adventure-works.com,658-555-0146,10/20/2024
151,238,Ms.,Jodan,M.,Jacobson,CAN,jodan0@adventure-works.com,652-555-0189,10/20/2024
152,239,Ms.,Jane,A.,McCarty,CAN,jane3@adventure-works.com,529-555-0195,10/20/2024
153,240,Mr.,Jessie,E.,Valerio,CAN,jessie0@adventure-works.com,103-555-0179,10/20/2024
154,241,Mr.,Eric,A.,Jacobsen,CAN,eric5@adventure-works.com,703-555-0120,10/20/2024
155,244,Mr.,Bronson,R.,Jacobs,CAN,bronson0@adventure-works.com,697-555-0131,10/20/2024
156,245,Mr.,James,L.,McCoy,CAN,james12@adventure-works.com,191-555-0151,10/20/2024
157,246,Ms.,Esther,K.,Valle,CAN,esther0@adventure-works.com,481-555-0131,10/20/2024
158,250,Ms.,Denean,J.,Ison,CAN,denean0@adventure-works.com,1 (11) 500 555-0127,10/20/2024
159,253,Mr.,Erik,,Ismert,CAN,erik0@adventure-works.com,116-555-0163,10/20/2024
160,254,Mr.,Robert,M.,Bernacchi,CAN,robert4@adventure-works.com,449-555-0176,10/20/2024
161,255,Mr.,Sunil,,Uppal,CAN,sunil0@adventure-works.com,184-555-0187,10/20/2024
162,256,Mr.,Richard,L.,Irwin,CAN,richard4@adventure-works.com,367-555-0124,10/20/2024
163,257,Mr.,Matthias,,Berndt,CAN,matthias1@adventure-works.com,384-555-0169,10/20/2024
164,258,Mr.,Sairaj,,Uddin,CAN,sairaj1@adventure-works.com,767-555-0193,10/20/2024
165,259,Mr.,Lucio,,Iallo,CAN,lucio0@adventure-works.com,199-555-0135,10/20/2024
166,262,Ms.,Beth,,Inghram,CAN,beth0@adventure-works.com,718-555-0152,10/20/2024
167,263,Mr.,Timothy,B.,Burnett,CAN,timothy0@adventure-works.com,251-555-0172,10/20/2024
168,264,Ms.,Phyllis,B.,Tuffield,CAN,phyllis3@adventure-works.com,277-555-0182,10/20/2024
169,268,Mr.,Richard,A.,Byham,CAN,richard2@adventure-works.com,1 (11) 500 555-0138,10/20/2024
170,271,Mr.,Jared,L.,Bustamante,CAN,jared0@adventure-works.com,164-555-0147,10/20/2024
171,272,Mr.,Henry,L.,Campen,CAN,henry0@adventure-works.com,635-555-0126,10/20/2024
172,273,Ms.,Christie,J.,Trujillo,CAN,christie0@adventure-works.com,686-555-0180,10/20/2024
173,274,Ms.,Janet,J.,Gilliat,CAN,janet2@adventure-works.com,521-555-0183,10/20/2024
174,275,Mr.,Chris,,Cannon,CAN,chris5@adventure-works.com,118-555-0131,10/20/2024
175,276,Mr.,Michael John,R.,Troyer,CAN,michaeljohn0@adventure-works.com,308-555-0175,10/20/2024
176,277,Mr.,Guy,,Gilbert,CAN,guy0@adventure-works.com,583-555-0198,10/20/2024
177,280,Mr.,CADnces,J.,Giglio,CAN,CADnces1@adventure-works.com,692-555-0136,10/20/2024
178,281,Ms.,Suzana De Abreu,A.,Canuto,CAN,suzanadeabreu0@adventure-works.com,990-555-0141,10/20/2024
179,282,Mr.,Billy,J.,Trent,CAN,billy0@adventure-works.com,882-555-0115,10/20/2024
180,286,Mr.,Leo,,Giakoumakis,CAN,leo0@adventure-works.com,1 (11) 500 555-0169,10/20/2024
181,287,Mr.,Grant,,Culbertson,CAN,grant1@adventure-works.com,859-555-0173,10/20/2024
182,288,Mr.,Robert,L.,Barker,CAN,robert3@adventure-works.com,241-555-0112,10/20/2024
183,289,Ms.,Gabriel,L.,Bockenkamp,CAN,gabriel0@adventure-works.com,763-555-0145,10/20/2024
184,290,Mr.,Scott,,Culp,CAN,scott3@adventure-works.com,119-555-0167,10/20/2024
185,291,Mr.,Wayne,N.,Banack,CAN,wayne0@adventure-works.com,640-555-0189,10/20/2024
186,292,Mr.,Michael,Greg,Blythe,CAN,michael11@adventure-works.com,126-555-0172,10/20/2024
187,293,Mr.,Conor,,Cunningham,CAN,conor0@adventure-works.com,115-555-0113,10/20/2024
188,294,Mr.,Alberto,F.,Baltazar,CAN,alberto0@adventure-works.com,780-555-0114,10/20/2024
189,295,Mr.,Joseph,P.,Mitzner,CAN,joseph4@adventure-works.com,129-555-0164,10/20/2024
190,298,Mr.,Robert,,Mitosinka,CAN,robert10@adventure-works.com,239-555-0198,10/20/2024
191,299,Mr.,Thierry,,D'Hers,CAN,thierry1@adventure-works.com,680-555-0192,10/20/2024
192,300,Mr.,Daniel,,Blanco,CAN,daniel0@adventure-works.com,221-555-0167,10/20/2024
193,304,Ms.,Linda,,Mitchell,CAN,linda9@adventure-works.com,1 (11) 500 555-0182,10/20/2024
194,306,Mr.,Stephen,M.,Ayers,CAN,stephen1@adventure-works.com,818-555-0171,10/20/2024
195,307,Ms.,Neva,M.,Mitchell,CAN,neva0@adventure-works.com,992-555-0134,10/20/2024
196,308,Ms.,Megan,N.,Davis,CAN,megan1@adventure-works.com,839-555-0198,10/20/2024
197,309,Mr.,John,,Arthur,CAN,john6@adventure-works.com,149-555-0113,10/20/2024
198,310,Mr.,CADnk,,Miller,CAN,CADnk6@adventure-works.com,118-555-0184,10/20/2024
199,311,Sr.,Alvaro,,De Matos Miranda Filho,CAN,alvaro0@adventure-works.com,551-555-0155,10/20/2024
200,312,Mr.,Thomas,B.,Armstrong,CAN,thomas1@adventure-works.com,226-555-0146,10/20/2024
201,313,Mr.,Dylan,,Miller,CAN,dylan1@adventure-works.com,140-555-0192,10/20/2024
202,316,Mr.,Ben,,Miller,CAN,ben1@adventure-works.com,207-555-0167,10/20/2024
203,317,Mr.,Jacob,N.,Dean,CAN,jacob0@adventure-works.com,767-555-0151,10/20/2024
204,318,Ms.,Ann,,Beebe,CAN,ann0@adventure-works.com,277-555-0169,10/20/2024
205,322,Mr.,Matthew,J.,Miller,CAN,matthew5@adventure-works.com,1 (11) 500 555-0176,10/20/2024
206,323,Mr.,Jo,,Brown,CAN,jo2@adventure-works.com,689-555-0130,10/20/2024
207,325,Ms.,Virginia,L.,Miller,CAN,virginia0@adventure-works.com,918-555-0127,10/20/2024
208,326,Mr.,Scott,,Gode,CAN,scott4@adventure-works.com,164-555-0145,10/20/2024
209,327,Ms.,Caroline,A.,Vicknair,CAN,caroline0@adventure-works.com,695-555-0158,10/20/2024
210,328,Mr.,Robert,R.,Vessa,CAN,robert13@adventure-works.com,560-555-0171,10/20/2024
211,330,Mr.,Mete,,Goktepe,CAN,mete0@adventure-works.com,637-555-0120,10/20/2024
212,331,Ms.,Wanda,F.,Vernon,CAN,wanda0@adventure-works.com,433-555-0168,10/20/2024
213,334,Ms.,Dora,P.,Verdad,CAN,dora0@adventure-works.com,155-555-0140,10/20/2024
214,335,Mr.,John,M.,Berger,CAN,john10@adventure-works.com,156-555-0111,10/20/2024
215,336,Mr.,Brian,R,Goldstein,CAN,brian4@adventure-works.com,495-555-0161,10/20/2024
216,340,Mr.,Raja,D.,Venugopal,CAN,raja0@adventure-works.com,1 (11) 500 555-0195,10/20/2024
217,343,Ms.,Patricia,M.,Vasquez,CAN,patricia2@adventure-works.com,490-555-0132,10/20/2024
218,344,Ms.,Karren,K.,Burkhardt,CAN,karren0@adventure-works.com,652-555-0132,10/20/2024
219,345,Ms.,Abigail,J.,Gonzalez,CAN,abigail0@adventure-works.com,121-555-0139,10/20/2024
220,346,Mr.,Ranjit,Rudra,Varkey Chudukatil,CAN,ranjit1@adventure-works.com,810-555-0160,10/20/2024
221,347,Ms.,Ingrid,K.,Burkhardt,CAN,ingrid0@adventure-works.com,857-555-0187,10/20/2024
222,348,Mr.,Oscar,L.,Alpuerto,CAN,oscar0@adventure-works.com,855-555-0174,10/20/2024
223,349,Mr.,Gary,T,Vargas,CAN,gary6@adventure-works.com,112-555-0176,10/20/2024
224,352,Mr.,Shane,S.,Kim,CAN,shane2@adventure-works.com,155-555-0149,10/20/2024
225,353,Ms.,Joan,M.,Campbell,CAN,joan0@adventure-works.com,700-555-0155,10/20/2024
226,354,Mr.,Maxwell,J.,Amland,CAN,maxwell0@adventure-works.com,614-555-0134,10/20/2024
227,358,Mr.,Joe,,Kim,CAN,joe1@adventure-works.com,1 (11) 500 555-0144,10/20/2024
228,360,Ms.,Ramona,J.,Antrim,CAN,ramona0@adventure-works.com,327-555-0148,10/20/2024
229,361,Ms.,Karan,,Khanna,CAN,karan1@adventure-works.com,390-555-0150,10/20/2024
230,362,Ms.,Sharon,A.,Crow,CAN,sharon1@adventure-works.com,889-555-0176,10/20/2024
231,363,Mr.,Chris,,Ashton,CAN,chris3@adventure-works.com,556-555-0145,10/20/2024
232,364,Mr.,Imtiaz,,Khan,CAN,imtiaz0@adventure-works.com,249-555-0179,10/20/2024
233,365,Mr.,Jack,,Creasey,CAN,jack2@adventure-works.com,539-555-0182,10/20/2024
234,366,Ms.,Teresa,,Atkinson,CAN,teresa0@adventure-works.com,129-555-0110,10/20/2024
235,367,Ms.,Tammy,J.,Khan,CAN,tammy0@adventure-works.com,145-555-0166,10/20/2024
236,370,Ms.,Elizabeth,,Keyser,CAN,elizabeth2@adventure-works.com,656-555-0173,10/20/2024
237,371,Mr.,Bruno,,Costa Da Silva,CAN,bruno0@adventure-works.com,140-555-0143,10/20/2024
238,372,Ms.,Katherine,K.,Swan,CAN,katherine1@adventure-works.com,421-555-0192,10/20/2024
239,376,Ms.,Mary,R.,Kesslep,CAN,mary8@adventure-works.com,1 (11) 500 555-0146,10/20/2024
240,377,Mr.,Marlin,M.,Coriell,CAN,marlin0@adventure-works.com,941-555-0155,10/20/2024
241,379,Mr.,Kevin,,Kennedy,CAN,kevin4@adventure-works.com,275-555-0179,10/20/2024
242,380,Ms.,Eva,,Corets,CAN,eva0@adventure-works.com,542-555-0164,10/20/2024
243,381,Ms.,Julie,,Taft-Rider,CAN,julie1@adventure-works.com,145-555-0194,10/20/2024
244,382,Mr.,Robert,,Kelly,CAN,robert7@adventure-works.com,510-555-0123,10/20/2024
245,383,Mr.,Scott,,Cooper,CAN,scott2@adventure-works.com,773-555-0182,10/20/2024
246,384,Mr.,Clarence,R.,Tatman,CAN,clarence0@adventure-works.com,787-555-0128,10/20/2024
247,385,Mr.,John,,Kelly,CAN,john22@adventure-works.com,330-555-0116,10/20/2024
248,388,Mr.,Victor,A.,Kelley,CAN,victor0@adventure-works.com,112-555-0195,10/20/2024
249,389,Ms.,Dorothy,J.,Contreras,CAN,dorothy0@adventure-works.com,428-555-0176,10/20/2024
250,390,Mr.,Mike,M.,Taylor,CAN,mike6@adventure-works.com,204-555-0189,10/20/2024
251,394,Ms.,Bonnie,,Kearney,CAN,bonnie1@adventure-works.com,1 (11) 500 555-0116,10/20/2024
252,395,Ms.,June,B.,Brunner,CAN,june0@adventure-works.com,249-555-0172,10/20/2024
253,397,Mr.,Sandeep,,Katyal,CAN,sandeep2@adventure-works.com,928-555-0117,10/20/2024
254,398,Ms.,Shirley,R.,Bruner,CAN,shirley0@adventure-works.com,383-555-0155,10/20/2024
255,399,Mr.,Chad,J.,Tedford,CAN,chad1@adventure-works.com,588-555-0128,10/20/2024
256,400,Mr.,Peter,,Houston,CAN,peter3@adventure-works.com,632-555-0171,10/20/2024
257,401,Mr.,Tom,H,Johnston,CAN,tom1@adventure-works.com,883-555-0177,10/20/2024
258,402,Ms.,Marian,M.,Berch,CAN,marian0@adventure-works.com,640-555-0198,10/20/2024
259,403,Ms.,Juanita,J.,Holman,CAN,juanita0@adventure-works.com,996-555-0196,10/20/2024
260,406,Mr.,Eddie,M.,Holmes,CAN,eddie0@adventure-works.com,570-555-0199,10/20/2024
261,407,Mr.,Robert,A.,Avalos,DEU,robert2@adventure-works.com,665-555-0198,10/20/2024
262,408,Mr.,Alexander,J.,Berger,DEU,alexander0@adventure-works.com,519-555-0151,10/20/2024
263,412,Ms.,Jean,J.,Holloway,DEU,jean2@adventure-works.com,1 (11) 500 555-0181,10/20/2024
264,415,Mr.,Greg,,Chapman,DEU,greg1@adventure-works.com,708-555-0169,10/20/2024
265,416,Ms.,Angela,,Barbariol,DEU,angela1@adventure-works.com,134-555-0182,10/20/2024
266,417,Ms.,Ruth,A.,Choin,DEU,ruth1@adventure-works.com,273-555-0181,10/20/2024
267,418,Mr.,Lee,J.,Chapla,DEU,lee0@adventure-works.com,223-555-0184,10/20/2024
268,419,Mr.,Darrell,M.,Banks,DEU,darrell0@adventure-works.com,816-555-0118,10/20/2024
269,420,Mr.,Anthony,,Chor,DEU,anthony0@adventure-works.com,429-555-0145,10/20/2024
